{'loss': 0.729, 'learning_rate': 4e-05, 'epoch': 0.13}                                                
{'loss': 0.4492, 'learning_rate': 8e-05, 'epoch': 0.26}                                               
{'loss': 0.2916, 'learning_rate': 0.00012, 'epoch': 0.39}                                             
{'loss': 0.2413, 'learning_rate': 0.00016, 'epoch': 0.51}                                             
{'loss': 0.2013, 'learning_rate': 0.0002, 'epoch': 0.64}                                              
{'loss': 0.1906, 'learning_rate': 0.00019956059820218982, 'epoch': 0.77}                              
{'loss': 0.1656, 'learning_rate': 0.0001982462542875576, 'epoch': 0.9}                                
{'loss': 0.1547, 'learning_rate': 0.000196068518757684, 'epoch': 1.03}                                
{'loss': 0.1424, 'learning_rate': 0.0001930465296307087, 'epoch': 1.16}                               
{'loss': 0.1278, 'learning_rate': 0.00018920684425573865, 'epoch': 1.29}                              
{'loss': 0.1415, 'learning_rate': 0.00018458320592590975, 'epoch': 1.41}                              
{'loss': 0.1374, 'learning_rate': 0.00017921624734111292, 'epoch': 1.54}                              
{'loss': 0.1303, 'learning_rate': 0.0001731531335263669, 'epoch': 1.67}                               
{'loss': 0.1235, 'learning_rate': 0.00016644714734388217, 'epoch': 1.8}                               
{'loss': 0.1314, 'learning_rate': 0.00015915722124135227, 'epoch': 1.93}                              
{'loss': 0.119, 'learning_rate': 0.0001513474193514842, 'epoch': 2.06}                                
{'loss': 0.0935, 'learning_rate': 0.00014308637449409706, 'epoch': 2.19}                              
{'loss': 0.1064, 'learning_rate': 0.0001344466850284333, 'epoch': 2.32}                               
{'loss': 0.1053, 'learning_rate': 0.00012550427685616765, 'epoch': 2.44}                              
{'loss': 0.0959, 'learning_rate': 0.00011633773618185302, 'epoch': 2.57}                              
{'loss': 0.1033, 'learning_rate': 0.0001070276188945293, 'epoch': 2.7}                                
{'loss': 0.1017, 'learning_rate': 9.765574263967396e-05, 'epoch': 2.83}                               
{'loss': 0.0993, 'learning_rate': 8.830446780279176e-05, 'epoch': 2.96}                               
{'loss': 0.0941, 'learning_rate': 7.905597372338558e-05, 'epoch': 3.09}                               
{'loss': 0.0774, 'learning_rate': 6.999153649996595e-05, 'epoch': 3.22}                               
{'loss': 0.0742, 'learning_rate': 6.119081473277501e-05, 'epoch': 3.34}                               
{'loss': 0.0807, 'learning_rate': 5.273114948114346e-05, 'epoch': 3.47}                               
{'loss': 0.0774, 'learning_rate': 4.468688458748006e-05, 'epoch': 3.6}                                
{'loss': 0.0741, 'learning_rate': 3.7128713340911535e-05, 'epoch': 3.73}                              
{'loss': 0.0789, 'learning_rate': 3.0123057222115836e-05, 'epoch': 3.86}                              
{'loss': 0.0805, 'learning_rate': 2.3731482188961818e-05, 'epoch': 3.99}                              
{'loss': 0.0759, 'learning_rate': 1.8010157632657543e-05, 'epoch': 4.12}                              
{'loss': 0.0616, 'learning_rate': 1.300936275912098e-05, 'epoch': 4.24}                               
{'loss': 0.059, 'learning_rate': 8.773044733510338e-06, 'epoch': 4.37}                                
{'loss': 0.0659, 'learning_rate': 5.338432470956589e-06, 'epoch': 4.5}                                
{'loss': 0.0633, 'learning_rate': 2.735709467518699e-06, 'epoch': 4.63}                               
{'loss': 0.0639, 'learning_rate': 9.877485465349058e-07, 'epoch': 4.76}                               
{'loss': 0.0682, 'learning_rate': 1.0991085142886271e-07, 'epoch': 4.89}                              
{'train_runtime': 43437.1506, 'train_samples_per_second': 0.571, 'train_steps_per_second': 0.009, 'train_loss': 0.13785859354130633, 'epoch': 4.95}
100%|███████████████████████████████████████████████████████████| 385/385 [12:03:57<00:00, 112.82s/it]
Training completed successfully!
