{'loss': 0.6527, 'learning_rate': 6.666666666666667e-05, 'epoch': 0.12}         
{'loss': 0.4877, 'learning_rate': 0.00013333333333333334, 'epoch': 0.24}        
{'loss': 0.4116, 'learning_rate': 0.0002, 'epoch': 0.36}                        
{'loss': 0.3851, 'learning_rate': 0.00019992093972273018, 'epoch': 0.48}        
{'loss': 0.4004, 'learning_rate': 0.0001996838839014696, 'epoch': 0.61}         
  6%|██▍                                    | 50/820 [42:40<11:21:31, 53.11s/it]Checkpoint destination directory ./LoRa/checkpoint-50 already exists and is non-empty.Saving will proceed but saved results may be invalid.
{'loss': 0.3729, 'learning_rate': 0.00019928920737019733, 'epoch': 0.73}        
{'loss': 0.3467, 'learning_rate': 0.00019873753419363336, 'epoch': 0.85}        
{'loss': 0.3256, 'learning_rate': 0.00019802973668046363, 'epoch': 0.97}        
{'loss': 0.3041, 'learning_rate': 0.000197166934004041, 'epoch': 1.09}          
{'loss': 0.28, 'learning_rate': 0.00019615049043274205, 'epoch': 1.21}          
 12%|████▍                               | 100/820 [1:26:07<10:08:00, 50.67s/it]Checkpoint destination directory ./LoRa/checkpoint-100 already exists and is non-empty.Saving will proceed but saved results may be invalid.
{'loss': 0.2924, 'learning_rate': 0.00019498201317277828, 'epoch': 1.33}        
{'loss': 0.2746, 'learning_rate': 0.0001936633498268728, 'epoch': 1.45}         
{'loss': 0.2812, 'learning_rate': 0.00019219658547282067, 'epoch': 1.58}        
{'loss': 0.2758, 'learning_rate': 0.00019058403936655233, 'epoch': 1.7}         
{'loss': 0.2655, 'learning_rate': 0.0001888282612749132, 'epoch': 1.82}         
 18%|██████▊                              | 150/820 [2:09:36<9:00:05, 48.37s/it]Checkpoint destination directory ./LoRa/checkpoint-150 already exists and is non-empty.Saving will proceed but saved results may be invalid.
{'loss': 0.2486, 'learning_rate': 0.00018693202744395827, 'epoch': 1.94}        
{'loss': 0.2302, 'learning_rate': 0.00018489833620913642, 'epoch': 2.06}        
{'loss': 0.1782, 'learning_rate': 0.00018273040325430574, 'epoch': 2.18}        
{'loss': 0.1911, 'learning_rate': 0.00018043165652707649, 'epoch': 2.3}         
{'loss': 0.1926, 'learning_rate': 0.00017800573081852122, 'epoch': 2.42}        
 24%|█████████                            | 200/820 [2:53:19<9:42:14, 56.35s/it]Checkpoint destination directory ./LoRa/checkpoint-200 already exists and is non-empty.Saving will proceed but saved results may be invalid.
{'loss': 0.184, 'learning_rate': 0.00017545646201582303, 'epoch': 2.55}         
{'loss': 0.1876, 'learning_rate': 0.00017278788103694943, 'epoch': 2.67}        
{'loss': 0.1872, 'learning_rate': 0.00017000420745694254, 'epoch': 2.79}        
{'loss': 0.198, 'learning_rate': 0.0001671098428359037, 'epoch': 2.91}          
{'loss': 0.1775, 'learning_rate': 0.000164109363759222, 'epoch': 3.03}          
{'loss': 0.1129, 'learning_rate': 0.00016100751460105243, 'epoch': 3.15}        
{'loss': 0.1162, 'learning_rate': 0.00015780920002248484, 'epoch': 3.27}        
{'loss': 0.1199, 'learning_rate': 0.00015451947721626676, 'epoch': 3.39}        
{'loss': 0.1129, 'learning_rate': 0.00015114354791034225, 'epoch': 3.52}        
{'loss': 0.1152, 'learning_rate': 0.00014768675014285062, 'epoch': 3.64}        
{'loss': 0.1305, 'learning_rate': 0.0001441545498215912, 'epoch': 3.76}         
{'loss': 0.1207, 'learning_rate': 0.00014055253208129938, 'epoch': 3.88}        
{'loss': 0.1127, 'learning_rate': 0.00013688639245240078, 'epoch': 4.0}         
{'loss': 0.063, 'learning_rate': 0.0001331619278552068, 'epoch': 4.12}          
{'loss': 0.0603, 'learning_rate': 0.00012938502743379212, 'epoch': 4.24}        
{'loss': 0.06, 'learning_rate': 0.0001255616632440475, 'epoch': 4.36}           
{'loss': 0.0615, 'learning_rate': 0.0001216978808106318, 'epoch': 4.48}         
{'loss': 0.0649, 'learning_rate': 0.00011779978956775506, 'epoch': 4.61}        
{'loss': 0.0638, 'learning_rate': 0.00011387355319890685, 'epoch': 4.73}        
{'loss': 0.0716, 'learning_rate': 0.00010992537989080618, 'epoch': 4.85}        
{'loss': 0.0693, 'learning_rate': 0.00010596151251698199, 'epoch': 4.97}        
{'loss': 0.0495, 'learning_rate': 0.00010198821876650701, 'epoch': 5.09}        
{'loss': 0.0292, 'learning_rate': 9.801178123349298e-05, 'epoch': 5.21}         
{'loss': 0.0315, 'learning_rate': 9.403848748301802e-05, 'epoch': 5.33}         
{'loss': 0.0307, 'learning_rate': 9.007462010919386e-05, 'epoch': 5.45}         
{'loss': 0.0326, 'learning_rate': 8.612644680109319e-05, 'epoch': 5.58}         
{'loss': 0.0353, 'learning_rate': 8.2200210432245e-05, 'epoch': 5.7}            
{'loss': 0.0342, 'learning_rate': 7.83021191893682e-05, 'epoch': 5.82}          
{'loss': 0.0327, 'learning_rate': 7.443833675595255e-05, 'epoch': 5.94}         
{'loss': 0.025, 'learning_rate': 7.061497256620793e-05, 'epoch': 6.06}          
{'loss': 0.0152, 'learning_rate': 6.683807214479323e-05, 'epoch': 6.18}         
{'loss': 0.0166, 'learning_rate': 6.311360754759923e-05, 'epoch': 6.3}          
{'loss': 0.0167, 'learning_rate': 5.9447467918700614e-05, 'epoch': 6.42}        
{'loss': 0.0182, 'learning_rate': 5.584545017840885e-05, 'epoch': 6.55}         
{'loss': 0.0133, 'learning_rate': 5.2313249857149414e-05, 'epoch': 6.67}        
{'loss': 0.0148, 'learning_rate': 4.885645208965779e-05, 'epoch': 6.79}         
{'loss': 0.0164, 'learning_rate': 4.548052278373327e-05, 'epoch': 6.91}         
{'loss': 0.0137, 'learning_rate': 4.219079997751515e-05, 'epoch': 7.03}         
{'loss': 0.0075, 'learning_rate': 3.899248539894757e-05, 'epoch': 7.15}
{'loss': 0.0084, 'learning_rate': 3.589063624077802e-05, 'epoch': 7.27}
