{'loss': 3.6895, 'learning_rate': 6.666666666666667e-05, 'epoch': 0.13}         
{'loss': 1.5947, 'learning_rate': 0.00013333333333333334, 'epoch': 0.26}        
{'loss': 0.8742, 'learning_rate': 0.0002, 'epoch': 0.39}                        
{'loss': 0.4323, 'learning_rate': 0.00019959742939952392, 'epoch': 0.52}        
{'loss': 0.3045, 'learning_rate': 0.00019839295885986296, 'epoch': 0.65}        
{'loss': 0.234, 'learning_rate': 0.00019639628606958533, 'epoch': 0.78}         
{'loss': 0.2276, 'learning_rate': 0.00019362348706397373, 'epoch': 0.91}        
{'loss': 0.2011, 'learning_rate': 0.0001900968867902419, 'epoch': 1.04}         
{'loss': 0.1839, 'learning_rate': 0.00018584487936018661, 'epoch': 1.17}        
{'loss': 0.1826, 'learning_rate': 0.00018090169943749476, 'epoch': 1.3}         
{'loss': 0.1822, 'learning_rate': 0.00017530714660036112, 'epoch': 1.43}        
{'loss': 0.1855, 'learning_rate': 0.00016910626489868649, 'epoch': 1.56}        
{'loss': 0.1745, 'learning_rate': 0.00016234898018587337, 'epoch': 1.69}        
{'loss': 0.1794, 'learning_rate': 0.00015508969814521025, 'epoch': 1.82}        
{'loss': 0.176, 'learning_rate': 0.00014738686624729986, 'epoch': 1.95}         
{'loss': 0.1444, 'learning_rate': 0.00013930250316539238, 'epoch': 2.08}        
{'loss': 0.1213, 'learning_rate': 0.00013090169943749476, 'epoch': 2.21}        
{'loss': 0.1351, 'learning_rate': 0.00012225209339563145, 'epoch': 2.35}        
{'loss': 0.1295, 'learning_rate': 0.00011342332658176555, 'epoch': 2.48}        
{'loss': 0.1431, 'learning_rate': 0.00010448648303505151, 'epoch': 2.61}        
{'loss': 0.1244, 'learning_rate': 9.551351696494854e-05, 'epoch': 2.74}         
{'loss': 0.1201, 'learning_rate': 8.657667341823448e-05, 'epoch': 2.87}         
{'loss': 0.13, 'learning_rate': 7.774790660436858e-05, 'epoch': 3.0}            
{'loss': 0.0888, 'learning_rate': 6.909830056250527e-05, 'epoch': 3.13}         
{'loss': 0.1011, 'learning_rate': 6.069749683460765e-05, 'epoch': 3.26}         
{'loss': 0.0878, 'learning_rate': 5.261313375270014e-05, 'epoch': 3.39}         
{'loss': 0.0896, 'learning_rate': 4.491030185478976e-05, 'epoch': 3.52}         
{'loss': 0.0819, 'learning_rate': 3.7651019814126654e-05, 'epoch': 3.65}        
{'loss': 0.1034, 'learning_rate': 3.089373510131354e-05, 'epoch': 3.78}         
{'loss': 0.0891, 'learning_rate': 2.4692853399638917e-05, 'epoch': 3.91}        
{'loss': 0.0872, 'learning_rate': 1.9098300562505266e-05, 'epoch': 4.04}        
{'loss': 0.078, 'learning_rate': 1.415512063981339e-05, 'epoch': 4.17}          
{'loss': 0.08, 'learning_rate': 9.903113209758096e-06, 'epoch': 4.3}            
{'loss': 0.068, 'learning_rate': 6.37651293602628e-06, 'epoch': 4.43}           
{'loss': 0.0679, 'learning_rate': 3.6037139304146762e-06, 'epoch': 4.56}        
{'loss': 0.071, 'learning_rate': 1.6070411401370334e-06, 'epoch': 4.69}         
{'loss': 0.0746, 'learning_rate': 4.025706004760932e-07, 'epoch': 4.82}         
{'loss': 0.0672, 'learning_rate': 0.0, 'epoch': 4.95}                           
{'train_runtime': 31881.4963, 'train_samples_per_second': 0.77, 'train_steps_per_second': 0.012, 'train_loss': 0.2922486846384249, 'epoch': 4.95}
